Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
carwash	1616	6.00	1.88	4.57	2.21	5.29	1.49
cash	503	8.28	0.94	7.08	2.77	6.76	2.31
casino	680	6.90	1.79	6.76	1.97	5.14	2.22
cast	1617	4.40	1.24	4.87	1.41	5.00	1.65
castle	1618	6.86	1.7	5.50	2.28	6.71	2.02
castrate	1619	2.07	2.37	6.00	3.51	2.69	2.56
cat	504	5.33	2.6	4.08	2.32	6.54	2
cattle	1620	5.73	2.02	5.40	1.96	6.07	2.09
cave	1621	4.69	2.02	5.44	1.55	5.00	1.21
cavern	1622	5.60	1.99	5.27	2.43	5.53	2.17
cavity	1623	3.00	2.48	6.54	2.33	3.85	2.61
cavort	1624	4.93	1	4.93	1.38	4.71	1.33
cease	1625	4.60	0.99	4.07	1.58	5.13	1.3
ceiling	1626	5.79	1.25	4.92	2.18	4.77	1.48
cell	587	3.33	1.93	3.67	2.44	4.12	2.36
cellar	681	4.45	1.57	4.30	2.45	4.90	1.94
cemetery	65	3.42	1.38	4.45	2.25	4.73	2.05
cereal	1627	7.45	1.76	5.74	2.28	6.32	2.08
chair	66	5.30	0.95	3.40	1.84	4.70	0.67
chalk	1628	5.07	1.91	3.27	2.52	4.20	1.7
challenge	1629	6.86	1.96	6.57	1.99	6.57	2.56
champ	682	7.22	1.4	6.22	1.48	6.28	1.87
champagne	1630	6.87	1.25	5.29	2.52	5.29	2.33
champion	67	8.42	1.08	4.83	3.43	6.08	3.45
chance	683	6.42	1.61	5.63	2.43	4.74	1.76
change	1631	5.93	2.02	5.43	2.17	5.36	2.06
chaos	684	4.50	2.16	6.30	1.81	4.00	1.59
character	1632	5.73	1.33	5.33	1.18	6.07	1.79
charm	68	6.67	1.63	5.47	2.42	5.87	1.96
chase	1633	5.75	2.02	6.06	1.95	5.44	1.93
checkerboard	1634	5.93	1.71	5.43	1.16	5.07	1.94
cheer	69	7.70	1.38	5.95	2.37	5.55	1.99
cheerful	1635	7.69	1.62	5.75	2.59	6.25	1.69
cheerleader	1636	6.69	1.7	5.75	2.65	5.81	1.83
cheese	1637	6.20	1.61	4.47	2	4.73	1.94
cheeseburger	1638	8.07	1.14	6.43	1.95	6.07	2.06
chef	1639	6.93	1.49	5.00	2.39	6.67	1.76
chess	1640	5.50	1.41	3.62	2.22	5.06	1.77
chest	1641	6.64	1.69	5.36	3	5.71	2.4
chicken	1642	6.93	1.67	5.07	2.25	5.73	1.39
child	70	6.15	2.23	5.75	1.77	5.35	2.25
chimney	1643	5.86	1.61	3.08	1.93	5.23	1.17
chin	685	5.36	1.43	3.64	2.11	5.41	1.71
chocolate	505	6.80	1.83	4.88	2.67	5.36	2.06
choice	1644	7.00	2.18	4.46	2.57	7.92	1.8
choir	1645	6.33	2.13	4.57	2.17	5.21	0.89
choke	1646	2.75	1.57	6.06	2.77	3.38	2.22
chore	1647	3.00	1.36	2.80	1.86	3.67	1.88
christmas	686	7.58	1.61	6.05	2.68	5.37	2.27
church	71	5.29	2.67	4.69	3.09	4.62	2.9
cider	1648	5.93	1.44	4.43	1.74	5.50	2.31
cigar	1649	5.60	2.53	4.27	2.55	4.93	2.15
cigarette	1650	2.20	1.47	5.60	2.23	4.20	2.01
cinema	1651	7.93	1.27	6.62	2.14	5.92	2.06
circle	687	5.30	1.17	3.65	1.93	5.16	1.3
circus	72	6.76	1.52	5.38	2.47	5.00	2.1
city	73	5.67	1.5	4.53	2.07	4.53	1.73
clan	1652	5.07	1.91	4.53	2	5.86	2.25
clarinet	1653	6.13	1.3	4.87	1.85	5.47	1.68
class	1654	3.80	2.27	3.13	2.26	3.93	1.71
clause	1655	4.64	1.5	3.86	1.79	4.29	1.49
claw	1656	4.80	0.94	4.53	1.55	4.93	1.1
clay	1657	5.31	0.7	3.81	1.97	5.06	0.25
clean	1658	6.20	1.82	3.93	2.4	5.80	1.74
cleavage	1659	7.19	1.72	6.44	2.06	6.31	1.66
cleft	1660	4.80	1.66	3.87	2.29	4.80	1.37
clench	1661	5.14	1.51	5.50	1.95	5.00	1.96
cliff	553	4.96	2.23	5.88	2.3	5.04	1.84
cliffdiver	1662	5.75	1.95	5.81	2.2	5.50	1.79
climax	1663	6.25	2.35	6.75	2.41	6.50	1.86
cling	1664	4.25	1.18	3.94	1.98	4.25	1.57
clinic	1665	4.69	1.45	4.69	2.09	4.50	2
clock	688	4.86	1.73	3.95	2.38	4.59	1.76
closet	1666	4.93	1	4.14	1.51	6.00	1.66
clot	1667	3.25	1.57	5.00	2.37	4.06	2.05
cloth	1668	5.13	1.77	4.13	1.96	5.27	1.79
clothe	1669	5.60	1.55	3.80	2.14	5.60	1.35
clothes	1670	5.75	1.39	5.00	2	5.88	1.67
clothing	74	5.93	2.16	4.15	2.91	5.33	2.06
clouds	533	6.42	2.19	3.46	2.28	5.46	1.79
clown	1671	5.33	1.63	4.40	2.23	5.00	1.6
clue	1672	5.38	1.26	5.62	1.71	4.94	1
clumsy	689	4.06	2.07	4.78	2.29	4.06	1.73
coach	1673	6.20	1.7	5.53	2.1	5.53	2.29
coarse	690	4.65	1.09	4.50	1.57	5.05	1.32
coast	691	6.06	1.7	4.83	2.46	5.71	1.79
coax	1674	5.00	1.46	5.00	1.51	5.38	1.75
cocaine	1675	4.57	3.27	5.14	3.63	4.71	3.38
cockpit	1676	6.81	1.76	5.88	2.53	5.38	2.45
cockroach	75	3.73	2.05	5.33	2.66	5.47	2.5
cocoa	1677	7.47	0.92	5.93	2.62	6.43	1.45
cod	1678	5.24	1.26	4.48	1.33	5.33	1.28
coddle	1679	4.88	1.02	4.56	1.93	4.69	1.3
coffin	76	3.00	2.11	4.30	2.79	4.20	2.53
cognition	1680	5.43	1.34	4.69	2.02	5.23	1.36
coin	692	5.76	2.32	4.48	2.75	5.86	1.96
cold	693	3.90	1.94	5.40	1.85	4.65	1.76
colony	1681	5.50	1.91	5.79	2.01	6.08	1.55
color	694	7.05	1.65	4.63	2.71	6.32	1.97
column	695	5.15	1.04	3.70	2.05	5.25	1.71
comedy	77	8.00	0.95	6.36	2.06	4.82	1.99
comet	1682	6.33	2.06	6.27	1.87	4.07	2.46
comfort	696	6.45	2.21	4.35	2.87	5.70	2.08
comfortable	1683	7.50	1.16	3.14	1.99	6.50	1.74
command	1684	4.27	1.39	5.13	2.64	4.13	2.9
communism	1685	3.71	2.89	5.00	3.03	3.42	2.5
compel	1686	4.53	1.13	5.80	1.52	5.53	1.73
