Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD
avert	1483	5.12	1.5	4.88	2.28	4.12	1.63
avoid	1484	3.62	1.76	5.45	2.3	4.27	1.79
await	1485	4.31	1.7	5.62	2.63	3.77	2.17
awaken	1486	6.06	1.56	5.24	2.33	5.65	1.41
award	1487	9.00	0	7.69	1.97	7.69	2.43
awe	1488	6.57	1.83	5.23	2.49	4.31	1.38
awed	30	7.05	1.19	5.42	2.48	5.85	1.63
awful	1489	2.93	2.09	5.73	2.15	4.07	1.71
awkward	1490	3.13	1.88	5.27	2.05	3.13	1.6
awning	1491	5.21	1.31	3.79	2.36	4.64	1.15
baby	31	8.65	0.67	4.95	2.96	5.35	2.7
backyard	1492	7.25	1.18	4.81	2.83	6.12	2.06
bacon	1493	6.62	2.69	5.31	2.39	5.77	1.96
bad	1494	2.64	1.43	5.09	2.17	3.09	1.45
badge	1495	5.67	1.72	4.20	1.82	5.33	1.29
baffle	1496	3.64	1.36	5.55	1.75	3.36	1.36
bake	647	6.05	2.06	5.45	2.06	5.71	2.08
balcony	1497	6.44	1.31	4.81	2.46	4.56	1.75
bald	1498	4.42	2.19	4.00	2.17	5.50	1.24
ballet	1499	6.73	1.67	4.87	1.81	6.00	1.56
balloons	1500	7.27	1.33	4.40	1.72	5.07	1.22
ban	1501	3.67	1.5	5.80	2.31	3.53	2.29
banana	1502	6.85	1.68	4.46	2.3	5.31	1.65
band	1503	6.40	1.55	5.00	2.04	4.87	0.83
bandage	648	5.05	1.56	4.19	2.23	4.73	1.83
banish	1504	1.69	0.95	5.85	2.54	3.15	2.27
bankrupt	32	1.85	1.16	6.56	2.77	3.48	2.38
banner	649	5.45	0.96	4.19	2.02	4.81	1.4
bar	650	5.91	1.93	4.78	2.81	5.13	1.66
bargain	1505	7.65	1.17	6.18	2.1	6.29	1.05
bark	1506	5.53	2.07	5.93	1.94	5.47	1.64
barn	1507	5.12	1.86	4.75	2.29	5.31	2.55
barrel	651	4.83	1.27	3.04	1.85	4.88	0.99
basement	1508	4.50	1.46	5.00	1.86	4.31	1.7
basin	1509	4.86	1.23	4.14	2.14	4.29	1.27
basis	1510	4.80	0.77	4.29	1.44	5.50	1.29
basket	547	5.31	1.09	3.88	2.01	5.62	1.6
basketball	1511	5.80	1.52	5.20	2.51	4.60	1.45
bastard	33	3.44	2.21	5.94	2.02	4.03	2.51
batch	1512	6.14	1.29	4.43	1.74	5.36	0.84
bath	502	7.42	1.55	3.58	2.58	7.08	1.98
bathe	1513	7.53	1.68	4.87	2.56	5.73	2.37
bathroom	548	5.19	1.27	3.92	1.57	5.58	1.5
bathtub	652	6.75	1.48	3.25	2.53	5.80	1.67
baton	1514	4.94	1.44	3.81	1.64	5.00	1.26
battleship	1515	4.08	2.72	5.62	3.15	3.69	2.21
bawl	1516	3.38	1.2	4.75	2.21	3.75	1.29
beach	34	7.65	1.95	4.45	3.28	5.15	2.52
beads	1517	5.85	1.52	4.92	2.29	4.69	2.02
bean	1518	4.88	1.02	3.94	2.32	5.44	2.1
bear	1519	4.27	2.15	6.64	2.2	3.36	1.75
beard	1520	5.69	1.75	4.17	2.92	5.23	2.24
beast	653	3.50	2.11	5.21	2.84	4.25	2.05
beautiful	654	8.00	1.03	5.95	2.24	6.50	2.01
beauty	35	8.04	1.15	4.52	2.76	5.65	2.44
bed	549	7.15	1.54	3.19	2.23	6.77	1.73
bedspread	1521	5.36	2.27	3.69	2.39	6.00	2.12
beer	1522	5.33	2.5	5.53	2.47	4.80	2.37
bees	583	3.15	2.11	6.31	2	3.77	1.86
beet	1523	4.64	1.15	3.15	1.72	5.62	1.19
beg	1524	2.67	1.76	5.40	2.38	3.40	2.44
beggar	36	2.65	1.85	5.62	2.61	3.68	2.5
beginning	1525	6.57	2.41	4.93	2.5	5.71	2.43
behave	1526	5.85	1.77	4.25	1.54	4.33	1.92
belief	1527	6.69	2.14	6.67	2.06	6.00	2.37
bell	1528	5.15	1.72	3.38	1.94	5.00	1.15
belly	1529	4.50	1.62	4.64	1.69	4.64	1.12
belong	1530	7.17	1.59	6.08	2.5	5.75	1.54
bench	655	4.65	1.47	3.77	2.27	4.42	1.17
benefit	1531	7.00	1.52	4.79	2.55	6.14	2.18
berate	1532	3.06	2.02	5.44	2.66	3.75	1.88
bereavement	656	4.52	1.85	4.50	1.89	4.62	1.71
betray	37	1.60	0.96	7.28	2.09	4.54	3.31
beverage	657	6.86	1.46	5.14	2.37	5.48	2.32
beware	1533	3.00	1.51	6.00	2.3	3.13	1.73
bib	1534	6.14	1.7	4.50	2.28	4.93	1.33
bible	1535	6.93	2.05	4.73	2.49	4.47	2.36
bicker	1536	2.67	1.37	5.25	2.3	4.50	1.88
bicyclist	1537	5.29	2.16	4.43	2.38	4.79	1.19
bikini	1538	5.47	2.23	5.47	2.13	4.47	2.36
binge	1539	2.76	1.44	4.71	2.42	3.71	2.54
binoculars	1540	6.14	1.29	3.79	2.12	6.00	1.66
bird	38	7.41	1.35	3.39	2.31	4.36	2.21
birth	1541	8.25	0.87	7.75	1.36	4.92	2.5
birthday	39	8.13	0.97	6.74	2.14	6.22	2.59
bitch	1542	2.23	1.88	6.67	2.87	3.75	2.63
black	543	4.88	2.03	4.68	2.32	4.44	1.73
blackmail	40	2.93	2.09	6.31	2.66	3.72	2.81
blade	1543	2.64	1.55	6.00	2.51	3.86	1.7
blame	1544	2.62	1.31	5.31	1.99	3.19	1.47
bland	658	4.09	1.15	3.14	1.61	4.82	1.33
blanket	1545	7.31	1.35	3.56	2.48	5.38	1.71
blase	41	4.79	1.03	3.58	1.77	4.74	0.87
blasphemy	659	3.83	2.43	5.25	2.31	4.75	1.39
bleed	1546	2.43	1.91	5.14	3.18	3.50	1.99
bless	42	7.73	1	4.00	2.83	5.68	2.36
blight	1547	4.07	1.21	3.57	2.47	4.57	1.55
blind	43	3.35	2.11	4.95	2.39	3.45	1.93
bliss	660	6.80	2.53	4.12	2.79	5.84	2.1
blister	661	2.25	1.33	4.40	2.58	3.55	1.76
blob	1548	5.12	1.71	4.38	2.6	5.38	2
blond	662	6.20	1.51	4.00	2.2	5.45	1.1
blonde	1549	6.15	2.82	5.38	2.84	5.92	2.29
blood	1550	3.46	1.51	5.85	3.05	4.92	2.69
bloody	584	2.08	1.16	6.50	1.63	3.62	1.83
bloom	1551	7.20	1.47	4.60	2.06	5.27	1.53
blossom	44	7.09	1	4.61	2.35	5.52	2.21
blouse	1552	6.08	2.29	4.85	2.41	5.54	2.54
blowdryer	1553	5.88	1.27	3.76	2.05	5.88	1.22
blubber	663	3.31	1.93	4.58	2.56	3.42	1.92
blue	544	6.38	1.96	4.62	2.32	5.35	1.83
blues	1554	3.54	2.57	3.31	2.1	5.00	2.68
blurt	1555	4.27	0.96	5.27	1.94	4.60	1.3
board	664	5.00	1.23	3.56	2.22	5.24	1.56
boat	1556	7.60	1.59	4.93	2.58	5.07	1.79
body	665	5.38	2.32	5.46	2.55	5.42	2.08
bold	45	7.00	1.55	5.94	2.02	6.58	1.96
bolt	1557	5.18	1.6	5.64	2.16	4.55	1.13
bomb	46	1.90	1.14	7.31	2.42	4.52	3.27
bone	1558	5.15	1.57	5.17	2.89	5.25	1.06
bonus	1559	8.20	1.32	6.93	2.74	7.33	1.45
book	47	5.55	1.19	4.20	2.73	5.45	2.28
boom	1560	4.67	2.02	6.33	1.95	4.20	1.93
boost	1561	6.47	1.85	5.79	2.64	4.57	1.7
booth	1562	5.13	0.83	4.13	2.07	4.60	1.5
boots	1563	6.50	2.24	4.86	2.6	5.86	1.96
bored	48	3.05	1.28	2.80	2.4	4.15	1.9
boring	1564	2.69	2.84	1.42	1	3.42	1.44
bothered	1565	2.73	1.22	6.27	2.25	4.33	1.4
bottle	666	6.21	1.47	4.26	2.7	4.89	1.52
bounty	1566	5.45	0.82	4.55	1.37	5.18	0.4
bouquet	667	7.55	1.54	5.85	2.54	6.05	2.16
bowl	49	5.54	1.48	3.50	2.16	4.58	1.72
boxer	585	4.92	1.9	5.04	2.31	4.73	1.28
boy	50	6.91	1.73	5.13	2.42	6.00	2.09
boyfriend	1567	7.19	2.29	6.44	2.03	4.94	1.81
bracelet	1568	7.07	0.83	5.64	1.95	5.93	1.38
braces	1569	3.00	1.84	5.14	2.35	3.29	1.98
brain	1570	6.73	2.12	5.93	1.98	5.80	2.46
brave	668	7.55	1	6.35	2.32	7.30	1.87
break	1571	4.44	2.5	5.60	2.2	4.73	1.94
breast	51	5.43	1.12	4.43	2.04	4.96	2.25
breath	1572	6.25	1.53	4.75	2.27	6.25	1.39
breathless	1573	5.09	2.02	5.82	1.99	4.64	1.21
breeze	669	7.20	1.36	4.45	2.54	5.50	1.76
bribe	1574	3.33	1.37	6.18	1.89	3.45	1.57
brick	1575	4.71	2.02	4.64	1.98	5.00	1.62
bride	670	7.88	1.33	6.25	2.74	5.67	2.57
bridge	1576	4.93	1.1	5.13	2	4.27	1.58
bright	671	7.91	1.41	5.62	2.22	6.52	2.32
broken	672	2.73	1.61	5.46	2.44	4.12	1.37
brood	1577	4.75	2.29	4.94	2.05	5.12	1.86
broom	1578	5.07	0.7	3.53	2.03	5.00	1.89
broth	1579	5.20	2.11	3.33	2.23	5.33	1.29
brother	52	7.26	2.45	4.30	2.88	5.00	2.66
brow	1580	5.29	0.92	3.12	2.09	4.65	1.46
brownie	1581	7.47	2.37	6.41	2.15	5.35	1.93
bruise	1582	3.13	1.64	6.40	1.76	3.67	1.84
brutal	53	2.46	1.84	7.36	1.87	4.12	3.04
bucket	1583	4.71	1.14	3.57	1.87	4.71	1.07
buffalo	1584	5.69	1.6	4.31	2.46	4.23	1.59
bug	1585	3.40	1.88	6.00	2.04	4.33	1.4
bugle	1586	4.87	1.64	4.60	2.5	4.80	0.86
building	550	5.04	1.04	3.77	1.77	5.27	1.64
bulb	1587	5.29	0.61	3.77	1.79	5.54	1.2
bulge	1588	2.67	1.61	4.92	2.15	3.58	1.78
bullet	673	2.45	1.82	5.48	2.71	2.67	2.2
bumble	1589	4.47	2	5.13	2.23	4.40	1.84
bunny	54	7.70	1.38	3.80	2.65	5.05	2.33
burdened	55	2.38	1.5	5.72	2.01	4.72	2.44
burglar	1590	1.77	1.09	6.92	2.25	2.69	1.84
burial	56	1.77	1.07	5.32	2.32	3.36	1.96
burn	586	2.35	1.35	6.04	1.99	3.92	1.65
bury	1591	3.53	1.6	6.00	1.51	4.33	1.23
bus	541	4.31	1.81	3.77	1.61	4.65	1.57
bustle	1592	6.00	1.21	6.25	2.54	4.62	1.75
